date,SW_SP500
12/1/72,4.476110617
12/1/73,4.402949007
12/1/74,3.383570744
12/1/75,3.531260193
12/1/76,4.181551456
12/1/77,4.025323071
12/1/78,3.935561768
12/1/79,4.222572508
12/1/80,4.868560147
12/1/81,5.248030494
12/1/82,4.907156141
12/1/83,6.575322815
12/1/84,6.577030602
12/1/85,7.658401545
12/1/86,9.687594462
12/1/87,11.7567496
12/1/88,10.89363388
12/1/89,13.23193631
12/1/90,13.71370311
12/1/91,15.41834813
12/1/92,17.04006298
12/1/93,18.50175817
12/1/94,18.86746375
12/1/95,22.20007412
12/1/96,27.49517123
12/1/97,35.76817128
12/1/98,44.44253552
12/1/99,54.35111766
12/1/00,58.4886082
12/1/01,48.85959085
12/1/02,40.80778341
12/1/03,39.49862779
12/1/04,46.33763297
12/1/05,49.47367702
12/1/06,53.72029517
12/1/07,60.52261708
12/1/08,50.04042333
12/1/09,38.80376328
12/1/10,46.69667818
12/1/11,52.00786265
12/1/12,56.54401907
12/1/13,67.3214551
12/1/14,79.13206832
12/1/15,84.48215618
12/1/16,85.73819962
12/1/17,100
10/1/18,
